epoch,acc,loss,val_acc,val_loss
0,0.905654788017273,0.003774512093514204,0.9281796216964722,0.0019802714232355356
1,0.9284150004386902,0.0020608718041330576,0.9346931576728821,0.0017708389787003398
2,0.9352335333824158,0.001797409146092832,0.94343501329422,0.0015142009360715747
3,0.9407663941383362,0.0016304553719237447,0.9441206455230713,0.001623824704438448
4,0.9492800831794739,0.0014178009005263448,0.9584333300590515,0.0013265847228467464
5,0.9525941014289856,0.0014157393015921116,0.9383784532546997,0.0016906778328120708
6,0.9570794701576233,0.0012894176179543138,0.9522625803947449,0.0012489850632846355
7,0.959555447101593,0.0012311545433476567,0.9597188830375671,0.0011796904727816582
8,0.9606887102127075,0.0012129133101552725,0.9595474600791931,0.0011799882631748915
9,0.9615362882614136,0.001204630360007286,0.9591189622879028,0.0011512748897075653
10,0.9625171422958374,0.0011938849929720163,0.9604902267456055,0.0011548910988494754
11,0.9627266526222229,0.001190690672956407,0.9591189622879028,0.0011776232859119773
12,0.9632313847541809,0.0011846020352095366,0.9617757797241211,0.0011502252891659737
13,0.9642027020454407,0.001174335484392941,0.9665752649307251,0.0011704753851518035
14,0.9644122123718262,0.0011727703968062997,0.9605759382247925,0.0011538771213963628
15,0.9651359915733337,0.001170783187262714,0.968546450138092,0.0011524801375344396
16,0.9654788374900818,0.0011594827519729733,0.9602330923080444,0.0012872457737103105
17,0.9656502604484558,0.0011603408493101597,0.9612615704536438,0.0011970787309110165
18,0.9665073156356812,0.0011548652546480298,0.9582619071006775,0.0011864930856972933
19,0.9661168456077576,0.0011558759724721313,0.9640040993690491,0.001170049188658595
